Data;Papel moeda em circulação;Reservas bancárias;Base monetária restrita;Indicadores da produção;Índice de Commodities
jan/80;169.000.000;180.000.000;349.000.000;-;-
fev/80;174.000.000;160.000.000;334.000.000;-;-
mar/80;170.000.000;155.000.000;325.000.000;-;-
abr/80;177.000.000;175.000.000;352.000.000;-;-
mai/80;183.000.000;188.000.000;371.000.000;-;-
jun/80;195.000.000;205.000.000;400.000.000;-;-
jul/80;211.000.000;215.000.000;426.000.000;-;-
ago/80;216.000.000;220.000.000;436.000.000;-;-
set/80;227.000.000;227.000.000;454.000.000;-;-
out/80;237.000.000;236.000.000;473.000.000;-;-
nov/80;251.000.000;247.000.000;498.000.000;-;-
dez/80;319.000.000;273.000.000;592.000.000;-;-
jan/81;285.000.000;295.000.000;580.000.000;-;-
fev/81;297.000.000;292.000.000;589.000.000;-;-
mar/81;303.000.000;281.000.000;584.000.000;-;-
abr/81;313.000.000;280.000.000;593.000.000;-;-
mai/81;321.000.000;299.000.000;620.000.000;-;-
jun/81;335.000.000;321.000.000;656.000.000;-;-
jul/81;365.000.000;336.000.000;701.000.000;-;-
ago/81;379.000.000;358.000.000;737.000.000;-;-
set/81;396.000.000;361.000.000;757.000.000;-;-
out/81;427.000.000;386.000.000;813.000.000;-;-
nov/81;448.000.000;408.000.000;856.000.000;-;-
dez/81;589.000.000;470.000.000;1.059.000.000;-;-
jan/82;588.000.000;536.000.000;1.124.000.000;-;-
fev/82;598.000.000;598.000.000;1.196.000.000;-;-
mar/82;584.000.000;549.000.000;1.133.000.000;-;-
abr/82;622.000.000;556.000.000;1.178.000.000;-;-
mai/82;636.000.000;569.000.000;1.205.000.000;-;-
jun/82;679.000.000;616.000.000;1.295.000.000;-;-
jul/82;750.000.000;656.000.000;1.406.000.000;-;-
ago/82;758.000.000;699.000.000;1.457.000.000;-;-
set/82;787.000.000;714.000.000;1.501.000.000;-;-
out/82;858.000.000;761.000.000;1.619.000.000;-;-
nov/82;922.000.000;894.000.000;1.816.000.000;-;-
dez/82;1.147.000.000;956.000.000;2.103.000.000;-;-
jan/83;1.151.000.000;1.146.000.000;2.297.000.000;-;-
fev/83;1.181.000.000;1.125.000.000;2.306.000.000;-;-
mar/83;1.144.000.000;1.141.000.000;2.285.000.000;-;-
abr/83;1.191.000.000;1.120.000.000;2.311.000.000;-;-
mai/83;1.206.000.000;1.176.000.000;2.382.000.000;-;-
jun/83;1.285.000.000;1.175.000.000;2.460.000.000;-;-
jul/83;1.487.000.000;1.306.000.000;2.793.000.000;-;-
ago/83;1.441.000.000;1.465.000.000;2.906.000.000;-;-
set/83;1.559.000.000;1.474.000.000;3.033.000.000;-;-
out/83;1.630.000.000;1.529.000.000;3.159.000.000;-;-
nov/83;1.697.000.000;1.619.000.000;3.316.000.000;-;-
dez/83;2.204.000.000;1.927.000.000;4.131.000.000;-;-
jan/84;2.211.000.000;2.291.000.000;4.502.000.000;-;-
fev/84;2.239.000.000;2.235.000.000;4.474.000.000;-;-
mar/84;2.309.000.000;2.293.000.000;4.602.000.000;-;-
abr/84;2.419.000.000;2.388.000.000;4.807.000.000;-;-
mai/84;2.513.000.000;2.819.000.000;5.332.000.000;-;-
jun/84;2.820.000.000;2.983.000.000;5.803.000.000;-;-
jul/84;3.243.000.000;3.367.000.000;6.610.000.000;-;-
ago/84;3.430.000.000;3.592.000.000;7.022.000.000;-;-
set/84;3.890.000.000;3.799.000.000;7.689.000.000;-;-
out/84;4.161.000.000;4.463.000.000;8.624.000.000;-;-
nov/84;4.436.000.000;4.999.000.000;9.435.000.000;-;-
dez/84;6.473.000.000;5.556.000.000;12.029.000.000;-;-
jan/85;6.630.000.000;7.255.000.000;13.885.000.000;-;-
fev/85;7.070.000.000;7.135.000.000;14.205.000.000;-;-
mar/85;7.333.000.000;7.193.000.000;14.526.000.000;-;-
abr/85;7.813.000.000;7.896.000.000;15.709.000.000;-;-
mai/85;8.383.000.000;8.671.000.000;17.054.000.000;-;-
jun/85;9.581.000.000;9.350.000.000;18.931.000.000;-;-
jul/85;11.563.000.000;10.724.000.000;22.287.000.000;-;-
ago/85;12.678.000.000;10.953.000.000;23.631.000.000;-;-
set/85;15.174.000.000;12.382.000.000;27.556.000.000;-;-
out/85;16.005.000.000;13.721.000.000;29.726.000.000;-;-
