Trim-Ano;Intervalo Inferior; Hiato ;Intervalo superior;;;
mar/96;-1,5%;-1,2%;0,7%;;;
jun/96;-1,5%;-0,9%;0,7%;;;
set/96;-0,8%;1,4%;1,4%;;;
dez/96;-0,5%;0,2%;1,7%;;;
mar/97;0,0%;1,0%;2,2%;;;
jun/97;0,1%;0,3%;2,3%;;;
set/97;-0,2%;0,4%;2,0%;;;
dez/97;-1,7%;0,2%;0,5%;;;
mar/98;-2,4%;-2,4%;-0,2%;;;
jun/98;-1,8%;-1,5%;0,4%;;;
set/98;-2,7%;-1,7%;-0,5%;;;
dez/98;-4,0%;-2,8%;-1,8%;;;
mar/99;-4,1%;-2,6%;-1,9%;;;
jun/99;-3,6%;-3,0%;-1,5%;;;
set/99;-2,8%;-2,8%;-0,6%;;;
dez/99;-3,1%;-2,7%;-0,9%;;;
mar/00;-2,6%;-2,5%;-0,4%;;;
jun/00;-1,7%;-1,6%;0,5%;;;
set/00;-1,6%;-0,7%;0,5%;;;
dez/00;-1,5%;-0,1%;0,7%;;;
mar/01;-1,3%;-0,5%;0,9%;;;
jun/01;-2,6%;-2,1%;-0,4%;;;
set/01;-4,0%;-3,1%;-1,9%;;;
dez/01;-3,8%;-3,8%;-1,6%;;;
mar/02;-3,3%;-2,7%;-1,1%;;;
jun/02;-3,8%;-2,3%;-1,6%;;;
set/02;-4,4%;-2,2%;-2,2%;;;
dez/02;-3,2%;-1,7%;-1,0%;;;
mar/03;-2,5%;-2,5%;-0,4%;;;
jun/03;-3,9%;-3,4%;-1,7%;;;
set/03;-4,6%;-2,6%;-2,4%;;;
dez/03;-2,9%;-2,0%;-0,8%;;;
mar/04;-2,5%;-1,4%;-0,3%;;;
jun/04;-2,1%;0,1%;0,1%;;;
set/04;-1,5%;0,7%;0,7%;;;
dez/04;-0,9%;0,4%;1,3%;;;
mar/05;-0,9%;0,2%;1,3%;;;
jun/05;-1,6%;0,6%;0,6%;;;
set/05;-2,6%;-1,0%;-0,4%;;;
dez/05;-2,5%;-0,6%;-0,3%;;;
mar/06;-1,5%;0,5%;0,7%;;;
jun/06;-1,8%;-0,1%;0,4%;;;
set/06;-1,2%;0,3%;1,0%;;;
dez/06;-1,0%;0,8%;1,1%;;;
mar/07;-0,3%;1,9%;1,9%;;;
jun/07;0,1%;2,3%;2,3%;;;
set/07;0,7%;2,2%;2,9%;;;
dez/07;1,6%;2,8%;3,8%;;;
mar/08;2,0%;2,8%;4,2%;;;
jun/08;1,9%;3,8%;4,1%;;;
set/08;2,0%;4,1%;4,2%;;;
dez/08;-1,0%;-1,0%;1,2%;;;
mar/09;-4,0%;-3,0%;-1,8%;;;
jun/09;-3,3%;-2,1%;-1,1%;;;
set/09;-1,9%;-0,8%;0,3%;;;
dez/09;-0,2%;1,0%;2,0%;;;
mar/10;0,8%;2,2%;3,0%;;;
jun/10;1,8%;2,4%;4,0%;;;
set/10;2,0%;2,5%;4,2%;;;
dez/10;2,2%;2,9%;4,4%;;;
mar/11;1,7%;3,3%;3,9%;;;
jun/11;1,8%;3,4%;3,9%;;;
set/11;1,2%;2,4%;3,4%;;;
dez/11;1,0%;2,7%;3,2%;;;
mar/12;0,8%;0,8%;3,0%;;;
jun/12;0,9%;1,2%;3,1%;;;
set/12;1,0%;2,5%;3,1%;;;
dez/12;0,8%;1,8%;3,0%;;;
mar/13;0,8%;1,6%;3,0%;;;
jun/13;0,9%;2,6%;3,1%;;;
set/13;0,9%;2,5%;3,1%;;;
dez/13;0,9%;1,9%;3,1%;;;
mar/14;0,7%;2,3%;2,9%;;;
jun/14;-0,1%;0,3%;2,1%;;;
set/14;-1,1%;-0,1%;1,1%;;;
dez/14;-1,9%;-0,1%;0,3%;;;
mar/15;-3,1%;-1,0%;-1,0%;;;
jun/15;-4,9%;-3,7%;-2,7%;;;
set/15;-6,4%;-5,1%;-4,2%;;;
dez/15;-6,9%;-5,7%;-4,7%;;;
mar/16;-7,7%;-7,1%;-5,5%;;;
jun/16;-7,8%;-6,4%;-5,6%;;;
set/16;-7,4%;-6,4%;-5,2%;;;
dez/16;-8,0%;-6,7%;-5,8%;;;
mar/17;-7,7%;-6,0%;-5,5%;;;
jun/17;-7,5%;-5,7%;-5,3%;;;
set/17;-7,5%;-5,6%;-5,3%;;;
dez/17;-6,9%;-5,4%;-4,7%;;;
mar/18;-6,3%;-5,2%;-4,2%;;;
jun/18;-6,0%;-5,0%;-3,8%;;;
set/18;-6,0%;-4,8%;-3,8%;;;
dez/18;-6,1%;-5,6%;-3,9%;;;
mar/19;-6,3%;-5,8%;-4,2%;;;
jun/19;-6,3%;-6,2%;-4,1%;;;
set/19;-5,8%;-5,8%;-3,6%;;;
dez/19;-5,8%;-5,8%;-3,6%;;;
mar/20;-5,8%;-5,8%;-3,6%;;;
jun/20;-15,2%;-13,0%;-13,0%;;;
set/20;-7,1%;-5,1%;-4,9%;;;
dez/20;-4,3%;-3,4%;-2,1%;;;
mar/21;-4,6%;-2,4%;-2,4%;;;
jun/21;-4,7%;-2,6%;-2,5%;;;
set/21;-2,7%;-2,6%;-0,5%;;;
dez/21;-2,6%;-1,6%;-0,4%;;;
