Index;Papel.moeda.em.circulação;Reservas.bancárias;Base.monetária.restrita;Indicadores.da.produção;Índice.de.Commodities;desemprego;FedFunds;gap;ibov;IPCA;Selic;logIbov
01/01/2002;34632282;17665422;52297704;72,4;61,05;11,1;1,73;NA;12721;0,52;1,53;NA
01/02/2002;33256258;16799933;50056190;69,7;60,73;12,5;1,74;NA;14033;0,36;1,25;0,042629273
01/03/2002;32926959;16444528;49371487;77,4;58,55;12,9;1,73;-0,027;13255;0,6;1,37;-0,024770793
01/04/2002;32400876;16197577;48598453;79,6;56,23;12,5;1,75;NA;13085;0,8;1,48;-0,005606005
01/05/2002;32544921;16719583;49264504;80,4;60,35;11,9;1,75;NA;12861;0,21;1,41;-0,007498989
01/06/2002;33715470;16861700;50577170;77,5;66,65;11,6;1,75;-0,023;11139;0,42;1,33;-0,062428534
01/07/2002;35472925;18746665;54219591;83,3;75,86;11,9;1,73;NA;9763;1,19;1,54;-0,057262915
01/08/2002;36739190;19526927;56266117;83,6;80,62;11,7;1,74;NA;10382;0,65;1,44;0,026697735
01/09/2002;37827600;20337176;58164776;82,1;89,93;11,5;1,75;-0,022;8623;0,72;1,38;-0,080622638
01/10/2002;39665884;20940947;60606831;89,2;103,93;11,2;1,75;NA;10168;1,31;1,65;0,071577151
01/11/2002;40748550;20595777;61344327;83,9;101,27;10,9;1,34;NA;10509;3,02;1,54;0,014325854
01/12/2002;47789939;22110639;69900577;74,6;104,56;10,5;1,24;-0,017;11268;2,1;1,74;0,030285446
01/01/2003;46311079;22574879;68885958;74;101,45;11,2;1,24;NA;10941;2,25;1,97;-0,01278982
01/02/2003;43112771;20979603;64092374;71,8;109,05;11,6;1,26;NA;10281;1,57;1,83;-0,027021659
01/03/2003;41326044;27964089;69290133;77,4;100,18;12,1;1,25;-0,025;11274;1,23;1,78;0,040042671
01/04/2003;40519458;26852152;67371609;76,5;90,84;12,4;1,26;NA;12557;0,97;1,87;0,046807864
01/05/2003;39472319;26726819;66199137;79,7;87,33;12,9;1,26;NA;13422;0,61;1,97;0,02893134
01/06/2003;39776878;25925673;65702551;76,3;83,96;13;1,22;-0,034;12973;-0,15;1,86;-0,014776816
